Zip Code (CEP),City,State,Centroid Latitude,Centroid Longitude
1001,Sao Paulo,SP,-23.5502,-46.634
1002,Sao Paulo,SP,-23.5481,-46.635
1003,Sao Paulo,SP,-23.549,-46.6357
1004,Sao Paulo,SP,-23.5498,-46.6348
1005,Sao Paulo,SP,-23.5495,-46.6367
1006,Sao Paulo,SP,-23.5501,-46.6361
1007,Sao Paulo,SP,-23.55,-46.6373
1008,Sao Paulo,SP,-23.546,-46.6359
1009,Sao Paulo,SP,-23.5468,-46.6365
1010,Sao Paulo,SP,-23.5464,-46.6352
1011,Sao Paulo,SP,-23.5469,-46.6356
1012,Sao Paulo,SP,-23.5478,-46.6349
1013,Sao Paulo,SP,-23.5471,-46.6342
1014,Sao Paulo,SP,-23.5459,-46.6336
1015,Sao Paulo,SP,-23.5477,-46.6316
1016,Sao Paulo,SP,-23.549,-46.6324
1017,Sao Paulo,SP,-23.5495,-46.631
1018,Sao Paulo,SP,-23.5509,-46.6324
1019,Sao Paulo,SP,-23.5518,-46.6309
1020,Sao Paulo,SP,-23.5523,-46.63
1021,Sao Paulo,SP,-23.543,-46.6321
1022,Sao Paulo,SP,-23.5449,-46.6319
1023,Sao Paulo,SP,-23.5423,-46.6314
1024,Sao Paulo,SP,-23.5414,-46.6299
1025,Sao Paulo,SP,-23.5403,-46.6309
1026,Sao Paulo,SP,-23.5397,-46.6319
1027,Sao Paulo,SP,-23.5381,-46.6307
1028,Sao Paulo,SP,-23.5359,-46.6336
1029,Sao Paulo,SP,-23.5414,-46.6334
1030,Sao Paulo,SP,-23.5395,-46.633
1031,Sao Paulo,SP,-23.5419,-46.6351
1032,Sao Paulo,SP,-23.5401,-46.6352
1033,Sao Paulo,SP,-23.5393,-46.6359
1034,Sao Paulo,SP,-23.5425,-46.6374
1035,Sao Paulo,SP,-23.5416,-46.6415
1036,Sao Paulo,SP,-23.5416,-46.6414
1037,Sao Paulo,SP,-23.5454,-46.6389
1038,Sao Paulo,SP,-23.5439,-46.64
1039,Sao Paulo,SP,-23.5414,-46.6392
1040,Sao Paulo,SP,-23.541,-46.6383
1041,Sao Paulo,SP,-23.5439,-46.64
1042,Sao Paulo,SP,-23.5449,-46.6404
1043,Sao Paulo,SP,-23.5458,-46.6415
